jagħmilhom	does	يَا
glas	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
eledti	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ewlenin	main	الرئيسية
ħl-	the following:	المعلومات التالية:
daqskom	you	إِنْتِ
orkesta	orchestra	أوركسترا
chefe	head	رُؤوس
jgawdi	enjoying	متسمتين
tallim	forests	الغابات
ambaxxatur	the ambassador	السفير
serbji	Serbs	صربيا
iqun	Other	مَا عِنْدُو
ġappun	Japanese	اليابانية
rrealizza	the implementation	التنفيذ
reklami	advertising	الإعلان
intob	Other	مَا عِنْدُو
fataliżmu	fatalism	فاطاليا
ffaċċa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tagħmilli	manufacture	صناعة
doubiliou	the following:	المعلومات التالية:
ħalset	paid	المبلغ المُدَخَّل
pproaġunieri	for the purposes of this Regulation:	فِي الغَالِبْ مْتَاعْ الوَقْتْ:
etjopja	Ethiopia	إثيوبيا
bixra	a.	أ.
dot	dot	نقطة
komun	common	المشترك
jitbiddel	change	تغييرات
presidenzjali	Presidential	رئاسية
wlied	children	أطفال
fehemm	Understood	فهمت
jitħabbar	be announced	يُعلَمْ
islend	the following:	المعلومات التالية:
qasamet	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
meishian	Meishian	ميشيان
ġobsa	a.	أ.
ħajruh	the air	الهواء
sostniet	supplied	مُسَبِّبْ
obbligi	liabilities	الموافقة
ewropew	the following:	المعلومات التالية:
kkwalifikata	qualified	مُؤهل
ninsab	I find	نلقى
staqsejtha	I asked her	سَألتْهَا
riċetta	recipe	رِسِيت
dher	Other	مَا عِنْدُو
likelb	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
enfluwenza	Influence	النفوذ
pazji	Parties	الحزبين
euswech	Other	مَا عِنْدُو
principal	main	الرئيسية
perikoluż	dangerous	خطير
antenne	Antenna	انطينا
finanzjarjament	financial	المالي
contactsport	Contactsport	الوصلات
sudan	Sudan	سودان
okażjoni	Occasion	الحالة
ifhimni	understanding	فهمة
harter	paper	ورق
ġudizzju	judgment	الحكم
copa	glass	زجاج
żwiemen	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
taraspetturi	of inspectors	مِالمُفتشَرْ
et	and	و
piġġamal	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
lusconi	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
titkanta	the following:	المعلومات التالية:
prita	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
havy	havy	حَبِي
jiemi	days	أيام
cacija	cation	كايسيون
isma`	name	اسم
bejnhi	between them	بينيما
jisiru	are	هيه
pparteċipatx	not participated	ما شاركوا
xewkija	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jiġrix	occurring	الحالات اللي تتشكل
kambjament	change	تغييرات
qabbel	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
żmiennha	time	وقت
tirbħu	win	نجم
korrett	correct	صحيحة
teħu	take	خذي
esekelee	the number of days	عدد الايام
f`	F ̆	ف ̆
ismartphown	starting	بَدْء
konklużin	the conclusion	الخلاصة
ġan	the fruit	الفاكهة
emeritu	Emeritus	المُخْلِصْ
għanqitu	for the manufacture of textile materials	للاصنعة من المواد النسيجية
musulmani	Muslims	المسلمين
fxi	in the case of	في حالة
timmaġinak	imagining you	نتخيلك
bejni	between	بيني
alex	other than	غير
għawdxija	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ronny	ronny	روني
somalja	Somali	صوماليا
ġurament	oath	قَسَمْ
ebola	Ebola	إيبولا
repertorji	Repertoire of the	ريبرتوري من
schembri	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sninsas	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
mwa	by	من خلال
ikkonċernati	concerned	متأثرين
tbiddluha	change it	تغيّروه
niċċelebraw	celebrating	الاحتفال
preokupazzjoni	concern	قلق
jirtiraw	withdraw	سحب
tibdili	change	تغييرات
fivoli	Flowers	الزهور
jagħtihomna	give us	إعطينا
receptionist	receptionist	ريسبتسيون
insejthom	I forgot them	نِسيتُوهُمْ
handoverpepises	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
da`	the following:	المعلومات التالية:
valletta	currency	عملة
slovakkja	Slovakia	سلوفاكيا
commission	Commission	المفوضية
fonds	funds	المبالغ
b`	Other	مَا عِنْدُو
handyman	handyman	المهندسي
tiskanta	rest	راحة
moreno	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
tanis	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
word	word	كلمة
irritanti	irritants	المُقْلِدْ
tixriq	the east	الشرق
benefiċċju	Benefit	الفوائد
jgħoddu	are applicable	يطبقوا
mobjl	Furniture	الأثاث
saqajhħ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tmexxi	running	يُجْرِي
omi	men	رجالا
lascaris	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
labs	lab	المختبر
tiltaqa`	meeting	الاجتماع
cauana	Cauane	كاوين
rreżiste	resistant	مقاوم
genen	other	غيرها
lija	of which:	مِنْهُمْ:
radjazzjoni	radiation	الإشعاع
dakat-	the following:	المعلومات التالية:
kiżijiet	cases	الحالات
irregolari	unusual	غير عادية
counseil	Council	المجلس
klienteliżmu	the customer service	الخدمة للعملاء
temti	articles	المواد
karlotta	Carrot	الكاروت
jider	Other	مَا عِنْدُو
attendes	expected	متوقع
qdew	other than	غير
weġġa`	the following:	المعلومات التالية:
tinkludix	does not include	ما يشمولش
divorzjati	divorced	طلاق
inneħħu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
rridniex	not want	ما نريدش
nafhomx	I do not know	ما نعرفش
tarġie	the following:	المعلومات التالية:
franġiskani	French	فرنسي
josemu	the following:	المعلومات التالية:
intkom	you	إِنْتِ
tingħatax	not given	ما يُعْطَى
fundamentaristi	Fundamentalists	المُتْبَاعِدْ
tagħħna	our	المشاركة
qatlu	slaughter	المذبحة
nispeċifikalek	I'll specify you	بَاشْ نْوَضِّحْ لِيكْ
josserva	observes	يلاحظ
qalek	to you	ليك
palma	Other	مَا عِنْدُو
kkalkulata	calculated	الحسابات
limxu	Lime	ليم
għeżies	Other	مَا عِنْدُو
ħara	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
kanada	Canada	كندا
kkonsultati	consulted	مُشاورين
terċiża	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
jiġġenera	generate	جني
ġabli	the following:	المعلومات التالية:
nediet	the following:	المعلومات التالية:
żbrixx	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għamiltx	did not	ما كانش
ftehem	understanding	فهمة
jiżdiedux	not be added	ما يضافوا
ħarun	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
eċitanti	Other, of a kind used for the manufacture of foodstuffs	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ لِلخ
envelop	Packages and packages	الحزمة و الحزمة
lazzrun	the following:	المعلومات التالية:
balzan	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
dilema	Dilemma	المشكلة
huxgħolna	we are able	نَحْنَا قَادِرِينْ
ħariġha	its output	الخروج منة
unit	Unit	وحدة
iżlatan	Other, of a thickness of not more than 0,5%	وِلاَّ مِنْ غِيرْ سَمْكِةْ مِنْ غِيرْ
tfejjaqna	Heal us	شافينا
tiffirma	Signed	مُوقّع
psiku	other than those specified in this Regulation	غِيرْ المُتْصَرِّفِينْ فِي هَاذَا الرِّيَ
niexjef	dry	جاف
ridtutbidlu	the change	التغيير
wisele	Other	مَا عِنْدُو
stalen	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għaliessar	for fish	لسمك
ħadlek	you took	خذيت
ħan-	the following:	المعلومات التالية:
sirja	the syringe	المحقنة
ipprintaw	printed	طابعة
jobuttigieg	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
ninjettaw	injected	مُحقق
militanti	Militants	المقاتلين
isptarijiet	Other articles of clothing	فُرْقَة وِلاَّ مَا عِنْدْهَا
colleg	college	كلية
awratu	hourly	في الساعه
stes	Other	مَا عِنْدُو
wiesa`	width	العرض
emozzjoni	emotion	العاطفة
ssuġġerit	suggested	اقترحوا
raqset	Rated	المعدلات
kalkoli	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
getwik	the following information is provided:	المعلومات التالية:
frankament	frankly	صراحة
determinazzjoni	determination	القرار
naħdif	I am sorry	سامحني
borġ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
eżatti	exact	بالضبط
ispiżerija	pharmacy	صيدلية
ġlu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jevolvi	develops	يطور
s`	Setting	إعدادات
rebha	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
junior	Junior	جونيور
traod	Other	مَا عِنْدُو
irrikkmanda	recommended	مُوصى بِيه
ngħaqdu	to join	للاضمام
abbandunawha	abandoned	متخلفة
modernizzar	modernisation	الحداثة
burija	the following:	المعلومات التالية:
limitid	limited	محدودة
imwielda	born	وُلدت
tiftakarni	remember me	تَذْكُرْنِي
naqtgħu	cutting	القص
intern	internal	داخلي
traffigużi	Traffic	حركة المرور
greċja	Greece	اليونان
possission	ownership	المالكة
semmew	specified	المحدد
balins	whale	الحوت
jingħatawx	not given	ما يُعْطَى
pazjenza	Patience	صَبْرْ
tħalliniex	not be allowed	ما يُسْمَحْشْ
perswas	Persons	الأفراد
dmizzi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
marselle	other than:	غِيرْ:
madam	Madam	سيدة
togħġobniex	We don't like it	مَا نْحِبُّوشْ.
dour	Dour	دور
vestu	a coat	كايط
jadmu	Other	مَا عِنْدُو
dubileu	double	مُضاعفة
reses	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
jintefa`	is erased	مُحَطَّة
gitba	Other articles	المواد الأُخرى
strument	instrument	أداة
exekutiv	Executive	الإدارة
chairman	Chairman	رَئِيسْ
definiduration	definiduration	تعريف
gall-	all	الكل
qaphon	Other	مَا عِنْدُو
artiġjanat	Manufacture from materials of any heading	صَنْعِة مِالمِتْعَاوِنْ مِنْ أَيْ م
monsinjur	a.	أ.
anwali	annual	السنوية
stajtu	the status	الحالة
infieq	Other	مَا عِنْدُو
jnħallu	to be released	يُطْلُبْ
terġgħu	re-	رِي-
stage	training	التدريب
fewdaliżmu	the use of the word'symbol'	استخدام كلمة "رمز"
nismgħu	to listen	نستمع
artitlu	Article 1 of this Regulation	المادة 1 مِنْ النَّظْرْ هَاذَا
mice	the following:	المعلومات التالية:
tintlab	requested	طلب
laburista	workers	العمال
jesportaw	export	الصادرات
iwiered	I am not a member	أنا ما نِيش عضوا
kulħadd	all	الكل
tisma`	you hear	تسمعوني
jannar	January	يناير
għelna	weighing	ثقل
ogħra	Other	مَا عِنْدُو
taħdan	under	تحت
gal	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sultana	Sultanate	السلطانية
mosta	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
sieħa	Drying	جفاف
arsnal	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
mearc	Mearc	مِيرك
afrika	Africa	إفريقيا
neħodhix	not take	ما خذيش
kruati	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
bżonnaddedikata	need to be dedicated	يلزمك تخصيصي
imqassam	distributed	مُوزع
talì	of	من
strumenta	a.	أ.
groups	groups	المجموعات
separazzjoni	separation	الفصل
għanda	have	ليه
anzjanità	ageing	العمر
awstralja	Australia	أستراليا
konsidrati	considered	كَانْ مُحْتَاجْ
għadhix	not yet	ماشي بعد
pproponejna	proposed	مقترح
carle	carle	كارل
imir	the following:	المعلومات التالية:
jgħiduhom	they say	يقولوا
niżbalja	error	الخطأ
bimtu	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
cremona	cream	كريم
ikkritikata	Critical	قَادِرْ
tuħluna	weighing	ثقل
nerġa`	again	مرة أخرى
abbandunaw	abandoned	متخلفة
tkoprija	coverage	تغطية
istaf	staff	الموظفين
kongregazzjoni	congregation	الكنيسة
tradutur	Translator	مترجم
jqajmu	stand up	قُومْ
dippjana	plan	خطة
żmienha	time	وقت
insostni	support	الدعم
teliemalta	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
atmosfera	atmosphere	الغلاف الجوي
denbhom	of which:	مِنْهُمْ:
luxol	a loose	فاشل
irbaħtu	the winner	الفائز
tikkopera	cooperating	تعاون
tispjega	explain	شرحي
mifhun	Other	مَا عِنْدُو
tikbirlu	the size	الحجم
inħabb	love	حُبْ
wite	Wite	حَلْ
offrejt	I have offered	عَطيتِلْكُمْ
jerġa`	return	العودة
biż	with	مع
allawu	of which:	مِنْهُمْ:
sfidi	Challenges	المَشَاكِلْ
sussegwentament	subsequently	بعد ذلك
fora	Other	مَا عِنْدُو
let-	the following:	المعلومات التالية:
mediku	medical	طبي
borgia	Borgia	بورجيا
speaker	speaker	المتحدث
nagħalaq	closing	الإغلاق
hilna	greetings	سلمو
reases	reases	ريس
tintervjeni	intervene	تدخلوا
tfakkarhom	remember them	تَذْكُرْهُمْ
tilbsu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
mogti	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
konsultattivi	consulting services	الخدمات الملاعية
jikkopera	cooperate	تعاونوا
jinstema`	is heard	يسمعت
marux	tours	جولات
nisvijaw	are diverted	يُحْرُوا
secani	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
leġislattiv	the following:	المعلومات التالية:
traku	Truck	شاحنة
tħajjem	cattle	البقريات
żbiex	Other	مَا عِنْدُو
karmni	Other, of a kind used for the manufacture of foodstuffs	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ لِلخ
mkissra	Broken	كسروا
dobre	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
għasfuq	Fishing	صيد السمك
m`	Other	مَا عِنْدُو
mandes	handles	الملاهيات
werted	Heir	الموروث
informalment	informally	بلا رسم
arċisqof	Archbishop	أبرشيب
ċlied	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
karozz	Car	السيارات
renecilia	the following information is provided:	المعلومات التالية:
iżjies	Other	مَا عِنْدُو
jidru	are	هيه
jhuang	jhuang	جوانغ
mumix	other than	غير
għalhekkx`	therefore	هيكما
association	association	الجمعية
nonter	nter	نتر
kolla	cotton	القماش
fenech	Fenech	فنيخ
nkiteb	written	كِتَابْ
ippubblikahom	published	نشر
ma`	Other	مَا عِنْدُو
tittolleraha	tolerated	متسامحين
subject	subject	موضوعة
bjar	Swimming pool	بركة السباحة
employt	Employment	الوظائف
pbla	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
għalijiet	for	ل
ikkumpanjat	accompanied	مرافقه
qugħa	the following:	المعلومات التالية:
tirreġistra	registering	تسجيل
emt	Other	مَا عِنْدُو
dabbru	the following:	المعلومات التالية:
tneħħew	removed	مُزَالْ
remission	remission	الإعفاء
korp	body	الجسم
venet	Venous	فيني
ikliet	Meals	الوجبات
qalla	said	قيل
eliġibilità	eligibility	الملازمة
tirannu	the following table is inserted:	يُدْخَلْ الجَدْلْ المُتَحَدِّثْ:
clabb	crab	كربلا
agius	Agius	أجيوس
wisqnibża`	the following paragraph is inserted:	يُدْخُلْ الفقرة المُتَحَدَّثَة فِي التَّح
riċevimenti	receipts	الإيصالات
jegħre	the following:	المعلومات التالية:
logħbijiet	other goods	السلع الأخرين
pariġi	Paris	باريس
jintgħażel	selected	مُخْتَارِين
nigde	the following:	المعلومات التالية:
qajża	cotton	القماش
tbiddlu	change	تغييرات
terġa`	re re re re re re re re re re re re re re re re re re re re re re re re re re re re	رِيْرِيْرِيْرِيْرِيْرِيْرِيْ
hosbook	the number of days	عدد الايام
inċinerratur	Incinerator	كاسيرات
bura	pores	البورات
nerġgħux	return	العودة
sotot	Other	مَا عِنْدُو
verbali	Verbals	الكلمات الفصلية
kostruttiva	Constructive	المُبني
irziet	the following:	المعلومات التالية:
arġentina	Argentina	أرجنتين
erea	area	مساحة
assenjata	assigned	مُعَيّْنْ
jilgħbu	play	يلعبوا
policye	policy	سياسة
għalx	for	ل
puolis	police	الشرطة
ikkawżata	Caused	سبب
xibka	a net	شبكة
notes	Notes	الملاحظات
kummissjoni	Commission	المفوضية
leaister	Leather	الجلود
tappoġja	a thickness of not more than 10 mm	كاسيبات مُخَلَّطَة
nissospendi	suspended	مُعَلِّلْ
jarmuhwiex	the following conditions shall apply:	الشروط المُتَحَطَّة فِي التَّحْرِيمْ:
previżjonijiet	forecasts	توقعات
nfakkar	remembered	تذكرت
inbeda	started	بدأو
ikunx	be	كَانْ
fwejjaq	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
nista`	can	قاسية
cristina	other than	غير
jeħel	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sejemlewha	fill it	املاها
komodin	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
expert	expert	الخبراء
attard	delay	التأخير
buġit	Budget	الميزانية
tinbnew	are constructed	يُبْنَاوْ
inhatar	the threat	التهديد
minitċiet	notches	كريات
tagħmluh	do it	إفعلي هذا
intervenciel	the following information is provided:	المعلومات التالية:
jgħodt	Other	مَا عِنْدُو
silvioberlusconi	Other, of a width of <= 10 mm	وِلاَّ مِنْ عِرْضْ مِنْ عِرْضْ
nazzjonalista	nationalist	القومية
carers	carers	المُعَايِنْ
żviluppi	developments	تطورات
qedt	I am	أنا بَاشْ
nipproponu	propose	تقترح
tirt	the land	الأراضي
konvenjenza	convenience	الملاءمة
jingħelbu	be overcome	يُغْلَبْ
tribunali	Court of Justice	القضاء
ħarqu	raw	الخام
awn	Other	مَا عِنْدُو
spettur	inspector	المفتش
april	April	نيسان
presd	the following:	المعلومات التالية:
joseph	joseph	جوزيف
pawlo	the following:	المعلومات التالية:
naqdu	the shipment	الشحنة
elthon	the following:	المعلومات التالية:
larning	Larin	لارين
jou	today	اليوم
appellata	appeal	الطعونة
irriżenja	resignation	الإستقالة
bilanċat	Balanced	متوازنة
nismagħhom	I hear them	نِسْمَعْهُمْ
ipprivileġġjat	Privileged	مَنْفُوسْ
sussidjarità	subsidiarity	الإستعمالات الإضافية
ga	Other	مَا عِنْدُو
rodriekes	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
twelida	Birth	المولود
assolditajiet	Soldiers	جُنَّادْ
derin	other than	غير
nkixfet	dissolved	مُحْلُولْ
mnalla	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
nibgħat	to send	بَعْثُوا
taffaxxinak	the following information is provided:	المعلومات التالية:
marko	the mark	العلامة
hieja	oil	النفط
lulju	July	جولاي
jieħel	beef	لحم البقر
medji	average	المتوسط
argumenti	arguments	الحجج
mari	other	غيرها
ħallu	leave	خُذْ
fitx	in the case of	في حالة
ressaqna	we were delivered	نُسلموا
weġbilna	we answered	جاوبنا
perol	pearl	مروة
chriscardona	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
kisba	obtained	المتاخدمة
kjarezza	clarity	بساطة
ħabsi	Other	مَا عِنْدُو
timberd	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
nizzi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
rrappurtata	reported	رُوِّحْ
jinforma	reporting	التبليغ
kirjiet	rents	الإيجارات
rajth	saw	ساكن
tista`	can	قاسية
ipprivileġġat	Privileged	مَنْفُوسْ
ssier	father	ابو
missierta	mother	امة
għalek	for you	ليك
diffiċliu	Difficulty	صعوبة
speċifiku	specific	المحدد
mien	Other	مَا عِنْدُو
boil	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
semm	weighing	ثقل
stail	steel	الفولاذ
modaq	method	طرقه
korzzi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ikkontestata	disputed	متنازع
nirin	I am	أنا بَاشْ
tinqata`	cutting	القص
eligibilità	Eligibility	القبول
busuttil	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ċirkustanza	the circumstances	الحالات
drilli	drills	المكايين
waqfqet	closed	مغلق
mħal-	of which:	مِنْهُمْ:
deskrezzjoni	the description	التوصيف
immaġini	images	الصور
ħdiena	other than for the manufacture of goods	غِيرْ لِصْنَاعْ السِّلْعَة
saħqet	obtained	المتاخدمة
logob	logos	لوغو
reliġjuż	religious	الدينية
ċedejniha	the following:	المعلومات التالية:
ukku	the following:	المعلومات التالية:
streaming	streaming	القرصات
skansata	Scanned	سكانات
protection	Protection	الحماية
copunited	co-authorised	مُعَاوِنْ
lir-	the	المشاركة
gwerrer	warner	حَذَّارْ
tmaqdil	the following:	المعلومات التالية:
kottonera	Other, of a width of <= 10 mm	وِلاَّ مِنْ عِرْضْ مِنْ عِرْضْ
nsostnu	support	الدعم
prescriptions	the following information is provided:	المعلومات التالية:
ħall-	for the	ل ل
spegalna	Turn off	إغلق
ngaġġati	Damaged	ضايع
missjonijiet	missions	المهام
cos	cos	كاس
mannotenzjoni	maintenance	صيانة
zħal-	of the following:	مِنْ:
nittroduċu	the following:	المعلومات التالية:
pierre	the number of persons	العدد من الأشخاص
jirbaħlu	winning	فوز
niddiskriminaw	discriminate	تمييز
jkarkru	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
paul	Paul	بُولُس
grinroufs	Other, of a thickness of not more than 0,5%	وِلاَّ مِنْ غِيرْ سَمْكِةْ مِنْ غِيرْ
raimin	raimin	رايمين
konvinzjoni	the conviction	الحكم
awtrix	Other	مَا عِنْدُو
kifu	other than	غير
tarbiet	requests	طلبات
nafux	we know	نعرف
clint	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
felaħx	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
uwid	wood	الخشب
wourking	wourking	كَانْ يُرْقُدْ
ħab	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jaidru	the following:	المعلومات التالية:
budi	beards	الحِيرَة
tanzanja	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
nieħeb	the shell	القشرة
isejħilha	the caller	المُتصل
karmli	Carmels	كرميل
sema`	Other	مَا عِنْدُو
għando	a	أ)
tiffinanzja	financing	المالي
stabbilita	established	ثبت
booklet	booklet	الكتيب
ġigħ	pain	الألم
tam	Other	مَا عِنْدُو
magħamel	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
duminkomintoff	other than:	غِيرْ:
preseduta	the preceding	المُسابقة
jimmi	Other	مَا عِنْدُو
gotfrei	gotfrei	حطت
volontà	voluntary	طوعي
gosti	food	الغذاء
jivvotaw	vote	التصويت
ħallejnilhom	the following conditions shall apply:	الشروط المُتَحَطَّة فِي التَّحْرِيمْ:
inwaddab	to be answered	يُجيبُوا
ġobs	Other articles of clothing	فُرْقَة وِلاَّ مَا عِنْدْهَا
jirna	Other	مَا عِنْدُو
patt	contract	العقد
taqta`	cutting	القص
birdlife	birdslife	طيورات
ministeru	Ministry	الخدمة
immigration	immigration	الهجرة
pakistan	Pakistan	باكستان
proviżo	Provision	الإتاحة
għandiex	shall not	مَا يِسْتْحَقُّوشْ
ġobni	my rooms	غرفي
konfrontieoħra	other comparison	مقارنة أخرى
biża`	fear	الخوف
kattoliku	Catholic	الكاثوليك
irbid	Wine	النبيذ
ref	ref	القضيب
għandho	have	ليه
taħlit	mixtures	الخليطات
al-	the following:	المعلومات التالية:
formaċisti	formats	فورتات
ġustifikazzjoni	justification	التبرير
kunservazzjoni	maintenance	صيانة
abbusiv	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
semmewha	named	اسمها
kkomparat	Compared	مُقَارِنْ
patroċinju	sponsorship	المانحة
officers	officers	ضباط
noleġ	Other	مَا عِنْدُو
għini	help me	عَاوِنِي
ġejl-	the following	المعلومات التالية
ksird	Other financial instruments	أدوات مالية أخرى
provtuti	Provisions	الحكام
kordina	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sfur	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
tħaġa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ħatisbita	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
powerplan	powerplan	خط الطاقة
trinka	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
pero	but	آمَا
provduta	provided	مَا تِتْعْطَى
stefon	stefon	ستيفون
aġisqof	a bishop	أساقفة
wiednes	Other	مَا عِنْدُو
mbedżina	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
taqlil	the following:	المعلومات التالية:
jamswie	Other	مَا عِنْدُو
tirritornahom	return them	إرجاعهم
k	k	ك ك ك
correction	correction	تصحيح
kidma	the name	الاسم
gassijiet	Gas	الغاز
artifixxi	Manufacture from materials of any heading	صَنْعِة مِالمِتْعَاوِنْ مِنْ أَيْ م
hamma	to	ل
orbni	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għamlna	made	مصنوعة
isejħu	name	اسم
ħalsu	paid	المبلغ المُدَخَّل
juniors	Junior	جونيور
